image_name,split,blur_score,mean_brightness,contrast
002e6895-442e6bc1.jpg,train,79.03,91.12,67.41
000e0252-8523a4a9.jpg,train,455.95,114.4,57.42
002d290d-fa2a8964.jpg,train,524.74,89.18,59.17
00054602-3bf57337.jpg,train,401.78,99.6,61.21
000d4f89-3bcbe37a.jpg,train,289.92,80.67,72.09
002d290d-f9108a13.jpg,train,573.67,96.3,60.78
000d35d3-41990aa4.jpg,train,175.15,53.35,41.59
002d290d-90f2bab2.jpg,train,466.4,95.84,54.91
004855fc-ff3946ad.jpg,train,104.32,108.79,61.79
00091078-f32de4d2.jpg,train,66.9,82.71,46.9
002d290d-89f4e5c0.jpg,train,389.0,116.63,55.6
00091078-cedbfea7.jpg,train,191.71,78.26,50.67
002d290d-89d1aea8.jpg,train,114.95,78.57,55.42
0004974f-05e1c285.jpg,train,39.94,37.5,42.73
0045e757-088840fc.jpg,train,99.77,33.55,38.05
00091078-c1d32eea.jpg,train,89.56,79.23,56.69
002d290d-01969e7d.jpg,train,230.83,117.64,59.32
0045e757-02530231.jpg,train,78.22,25.96,29.63
00091078-875c1f73.jpg,train,334.59,81.15,54.02
002cd38e-ebe888e1.jpg,train,139.53,80.38,57.84
00423ac5-1fa7ff43.jpg,train,86.39,28.17,31.63
00091078-84635cf2.jpg,train,396.9,68.78,54.16
002cd38e-c7defded.jpg,train,85.64,89.1,65.38
00423717-eba4da41.jpg,train,80.68,19.89,33.17
002b562f-e0ac84fe.jpg,train,27.98,11.02,18.77
0001542f-ec815219.jpg,train,45.54,43.62,36.05
00423717-0ef3c8dc.jpg,train,65.43,33.31,28.45
002b485a-d1301c7c.jpg,train,136.88,51.86,40.27
00417c23-220bbc98.jpg,train,136.91,77.58,60.95
002b485a-3f6603f2.jpg,train,115.09,63.83,44.08
004071a4-ef4bf541.jpg,train,343.21,113.83,53.6
00091078-7cff8ea6.jpg,train,243.67,84.08,49.4
002ab96a-ea678692.jpg,train,387.69,114.06,68.25
004071a4-a45d905f.jpg,train,497.04,111.56,57.51
002ab96a-a96704f9.jpg,train,893.55,111.42,67.28
0001542f-7c670be8.jpg,train,34.25,60.83,36.34
004071a4-4e8a363a.jpg,train,601.88,116.25,45.11
0028cbbf-92f30408.jpg,train,172.4,100.29,60.47
004071a4-049b7b85.jpg,train,301.91,77.63,60.16
002827ad-8748e2fb.jpg,train,376.84,105.56,54.39
003e23ee-67d25f19.jpg,train,308.06,90.92,62.18
00091078-59817bb0.jpg,train,241.29,75.03,54.13
00268999-cb063914.jpg,train,56.72,16.48,27.21
003e23ee-07d32feb.jpg,train,75.43,93.86,67.04
00268999-a4b8e39d.jpg,train,33.46,34.12,29.15
0001542f-5ce3cf52.jpg,train,42.68,42.33,24.1
003c4a61-52588960.jpg,train,98.07,62.21,47.8
00268999-9f6d5823.jpg,train,245.88,86.57,65.35
003baca5-d6cd84e5.jpg,train,159.57,144.65,60.16
00268999-0b20ef00.jpg,train,46.81,29.66,33.6
003baca5-ad660439.jpg,train,109.28,129.16,63.88
0008a165-c48f4b3e.jpg,train,62.83,54.55,45.11
002685b6-856c17f7.jpg,train,338.58,83.52,71.97
003baca5-aab2e274.jpg,train,38.12,145.93,58.88
0024b742-acbed4fb.jpg,train,650.22,118.91,76.8
0000f77c-cb820c98.jpg,train,132.38,74.87,72.63
003baca5-70c87fc6.jpg,train,144.24,148.76,64.5
0024b742-83709bd4.jpg,train,116.39,119.28,74.22
00391a82-d1428e56.jpg,train,71.98,35.09,41.13
00232de3-19eca24a.jpg,train,179.87,33.39,32.04
00391a82-8be5b76d.jpg,train,52.86,93.2,42.89
00067cfb-f1b91e3c.jpg,train,175.78,107.81,51.7
00225f53-67614580.jpg,train,208.94,79.05,60.11
00390995-49d9a01e.jpg,train,456.09,116.72,58.32
00225f53-4200bde2.jpg,train,440.96,97.52,61.28
00378858-c5f802ac.jpg,train,176.75,45.6,37.61
00211b17-ad3e206b.jpg,train,16.52,16.22,15.37
0035afff-bd191d6a.jpg,train,90.44,19.82,26.85
00207869-902288d1.jpg,train,577.77,120.76,58.24
0035afff-572b2d4e.jpg,train,178.89,24.29,40.55
00067cfb-e535423e.jpg,train,793.56,78.46,58.31
0000f77c-62c2a288.jpg,train,72.49,108.91,65.81
00207869-046fa443.jpg,train,245.78,124.89,50.65
0035afff-47378fa3.jpg,train,67.05,21.12,23.04
00202076-9eaa8e42.jpg,train,164.65,107.32,69.05
0035afff-434368a1.jpg,train,132.01,32.75,47.3
00202076-7a95b4e3.jpg,train,36.17,39.68,36.93
0035afff-3295dbd6.jpg,train,123.32,30.82,42.02
001c5339-9a6cdd3e.jpg,train,123.84,28.19,28.91
0034a363-24f318c4.jpg,train,238.97,40.15,32.11
00067cfb-caba8a02.jpg,train,214.8,127.0,54.77
001c5339-13a07470.jpg,train,319.87,38.21,40.58
0033b19f-7f07efac.jpg,train,283.21,112.02,75.62
001c5339-08faca55.jpg,train,102.78,46.25,37.29
0033b19f-65613f7e.jpg,train,275.95,91.88,67.63
001bad4e-2fa8f3b6.jpg,train,169.62,88.8,50.44
0032419c-7d20b300.jpg,train,24.11,13.5,18.74
00134776-9123d227.jpg,train,135.98,24.37,28.41
00322f82-286ab9b3.jpg,train,189.96,32.15,37.26
00067cfb-5adfaaa7.jpg,train,75.89,25.68,30.92
00131ea7-624f538d.jpg,train,226.63,114.41,64.99
00313a01-b53a2998.jpg,train,130.54,38.11,33.47
0010bf16-a457685b.jpg,train,569.11,107.14,67.07
0000f77c-6257be58.jpg,train,329.35,107.7,62.92
00313a01-97de1f42.jpg,train,87.91,24.7,33.75
